book_id_title,book_id,cover_image_uri,book_title,book_series,book_settings,book_characters,book_language,year_first_published,authorlink,author,num_pages,format,genres,people_curr_read,peop_want_to_read,num_ratings,num_reviews,average_rating,rating_distribution,awards
10129880-the-colour-out-of-space,10129880,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1294272134i/10129880.jpg,The Colour Out of Space,,,,English,1927,https://www.goodreads.com/author/show/9494.H_P_Lovecraft,H.P. Lovecraft,78,Mass Market Paperback,"['Horror', 'Short Stories', 'Fiction', 'Science Fiction', 'Fantasy', 'Lovecraftian', 'Audiobook']",230,"4,778",9981,1007,4.03,"{'5 Stars': 3317, '4 Stars': 4190, '3 Stars': 2033, '2 Stars': 367, '1 Star': 74}",[]
10155.The_Lost_World,10155,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320504012i/10155.jpg,The Lost World,['Professor Challenger'],"['London, England', 'South America']","['Professor Challenger', 'Ed Malone', 'Lord John Roxton', 'Professor Summerlee', 'Zambo', 'Professor George Challenger']",English,1912,https://www.goodreads.com/author/show/2448.Arthur_Conan_Doyle,Arthur Conan Doyle,272,Paperback,"['Classics', 'Science Fiction', 'Fiction', 'Adventure', 'Fantasy', 'Audiobook', 'Dinosaurs']","5,719",43.9k,70041,3357,3.93,"{'5 Stars': 21536, '4 Stars': 26639, '3 Stars': 17828, '2 Stars': 3326, '1 Star': 712}",[]
101821.Gracias_y_desgracias_del_ojo_del_culo,101821,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1499095034i/101821.jpg,Gracias y desgracias del ojo del culo,,,,Spanish; Castilian,2004,https://www.goodreads.com/author/show/34604.Francisco_de_Quevedo,Francisco de Quevedo,,,"['Humor', 'Classics', 'Spanish Literature', 'Poetry', 'Novels', 'Fiction', 'Siglo De Oro']",29,267,479,69,3.75,"{'5 Stars': 128, '4 Stars': 166, '3 Stars': 128, '2 Stars': 50, '1 Star': 7}",[]
10208.Miracle_Fair,10208,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1362957171i/10208.jpg,Miracle Fair: Selected Poems,,,,English,2001,https://www.goodreads.com/author/show/6669.Wis_awa_Szymborska,Wislawa Szymborska,159,Paperback,"['Poetry', 'Poland', 'Polish Literature', 'Literature', 'Nobel Prize', 'Fiction', 'Contemporary']",22,"1,014",617,61,4.4,"{'5 Stars': 351, '4 Stars': 184, '3 Stars': 63, '2 Stars': 13, '1 Star': 6}",['Heldt Prize for Translation']
10210.Jane_Eyre,10210,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1557343311i/10210.jpg,Jane Eyre,,"['Thornfield Hall', 'England', 'United Kingdom']","['Jane Eyre', 'Bertha Mason', 'Grace Poole', 'Blanche Ingram', 'Adele Varens', 'St. John Rivers', 'Helen Burns', 'Richard Mason', 'Diana Rivers', 'Mary Rivers', 'Maria Temple', 'Robert Brocklehurst', 'Sarah Reed', 'Georgiana Reed', 'Eliza Reed', 'Bessie Lee', 'Alice Fairfax', 'Rosamond Oliver', 'Edward Rochester']",English,1847,https://www.goodreads.com/author/show/1036615.Charlotte_Bront_,Charlotte Bronte,532,Paperback,"['Classics', 'Fiction', 'Gothic', 'Historical Fiction', 'Literature', 'Historical', 'School']",84.3k,1m,2212275,72126,4.15,"{'5 Stars': 1034413, '4 Stars': 687720, '3 Stars': 338824, '2 Stars': 98297, '1 Star': 53021}",[]
102868.A_Study_in_Scarlet,102868,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1519031842i/102868.jpg,A Study in Scarlet,"['Sherlock Holmes', 'Sherlock Holmes (PTS 2008-2010)']","['London, England', 'Utah', 'England', 'United Kingdom', 'Salt Lake City, Utah', 'The United States of America']","['Jefferson Hope', 'Inspector Lestrade', 'Enoch Drebber', 'Lucy Ferrier', 'John Ferrier', 'Joseph Stangerson', 'Inspector Tobias Gregson', 'John Watson', 'Sherlock Holmes']",English,1887,https://www.goodreads.com/author/show/2448.Arthur_Conan_Doyle,Arthur Conan Doyle,123,Paperback,"['Mystery', 'Fiction', 'Crime', 'Classics', 'Audiobook', 'Mystery Thriller', 'Historical Fiction']",13.3k,247k,472040,19057,4.14,"{'5 Stars': 189584, '4 Stars': 181562, '3 Stars': 82093, '2 Stars': 13154, '1 Star': 5647}",[]
103104.Njal_s_Saga,103104,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1709664078i/103104.jpg,Njal's Saga,,['Iceland'],"['Sigurd Hlodvirsson', 'Njal', 'Gunnar', 'Hallgerda', 'Bergthora', 'Flosi', 'Kari']",English,1270,https://www.goodreads.com/author/show/5158478.Anonymous,Anonymous,384,Paperback,"['Classics', 'Fiction', 'Mythology', 'Medieval', 'Literature', 'Poetry', 'Historical Fiction']",398,"9,214",5256,493,3.94,"{'5 Stars': 1672, '4 Stars': 2027, '3 Stars': 1194, '2 Stars': 284, '1 Star': 79}",[]
103159.The_Forsyte_Saga,103159,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388286090i/103159.jpg,The Forsyte Saga,,,,,1921,https://www.goodreads.com/author/show/7419.John_Galsworthy,John Galsworthy,872,Paperback,"['Fiction', 'Historical Fiction', 'Classics', 'British Literature', 'Literature', 'Romance', 'Historical']",,,20341,1026,4.18,"{'5 Stars': 9254, '4 Stars': 6816, '3 Stars': 3257, '2 Stars': 713, '1 Star': 301}",[]
10365.Where_the_Red_Fern_Grows,10365,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1518702249i/10365.jpg,Where the Red Fern Grows,,"['Ozark Mountains', 'Oklahoma']","['Billy Colman', 'Old Dan', 'Little Ann']",English,1961,https://www.goodreads.com/author/show/6810.Wilson_Rawls,Wilson Rawls,272,Mass Market Paperback,"['Classics', 'Fiction', 'Young Adult', 'Childrens', 'Middle Grade', 'Historical Fiction', 'Animals']","6,296",128k,425720,14872,4.12,"{'5 Stars': 190908, '4 Stars': 133329, '3 Stars': 72400, '2 Stars': 20116, '1 Star': 8967}","[""Massachusetts Children's Book Award (1987)"", ""North Dakota Children's Choice Award (1981)""]"
1041041.The_People_That_Time_Forgot,1041041,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348006585i/1041041.jpg,The People That Time Forgot,['Caspak'],['Caspak (Caprona)'],,English,1918,https://www.goodreads.com/author/show/10885.Edgar_Rice_Burroughs,Edgar Rice Burroughs,100,Paperback,"['Science Fiction', 'Fantasy', 'Fiction', 'Classics', 'Adventure', 'Pulp', 'Audiobook']",122,"1,209",2492,162,3.68,"{'5 Stars': 550, '4 Stars': 865, '3 Stars': 850, '2 Stars': 196, '1 Star': 31}",[]
1044175.La_reina_estrangulada,1044175,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1448795495i/1044175.jpg,La reina estrangulada,['The Accursed Kings'],['France'],"['Louis X of France', 'Charles IV of France', 'Enguerrand de Marigny', 'Marguerite of Burgundy, queen of France', 'Jeanne II of Burgundy, queen of France', 'Blanche of Burgundy', ""Mahaut d'Artois"", ""Robert d'Artois"", 'Philippe V of France', 'Charles, count of Valois', ""Clemence d'Anjou, queen of France""]",Spanish; Castilian,1955,https://www.goodreads.com/author/show/4699102.Unknown,Unknown,230,Hardcover,"['Historical Fiction', 'Fiction', 'Historical', 'France', 'Medieval', 'Classics', 'Fantasy']",410,"4,107",11967,653,4.17,"{'5 Stars': 4478, '4 Stars': 5281, '3 Stars': 1968, '2 Stars': 205, '1 Star': 35}",[]
1044657.Oliver_Wiswell,1044657,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1180469566i/1044657.jpg,Oliver Wiswell,,,,English,1940,https://www.goodreads.com/author/show/59605.Kenneth_Roberts,Kenneth Roberts,836,Paperback,"['Historical Fiction', 'Fiction', 'American Revolution', 'American History', 'Classics', 'Historical', 'War']",16,775,493,71,4.27,"{'5 Stars': 234, '4 Stars': 180, '3 Stars': 61, '2 Stars': 13, '1 Star': 5}",[]
104696.Taras_Bulba,104696,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1171522625i/104696.jpg,Taras Bulba,,"['Ukraine', 'Warsaw', 'Khortytsia', 'Dubno', 'Zaporizhia']","['Taras Bulba', 'Ostap Bulba', 'Andri Bulba', 'Yankel']",English,1835,https://www.goodreads.com/author/show/232932.Nikolai_Gogol,Nikolai Gogol,228,Paperback,"['Classics', 'Fiction', 'Russia', 'Russian Literature', 'Historical Fiction', 'Novels', 'Literature']",425,"6,391",13650,664,3.73,"{'5 Stars': 3481, '4 Stars': 4804, '3 Stars': 3855, '2 Stars': 1164, '1 Star': 346}",[]
1047422.The_Four_Feathers,1047422,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1271384180i/1047422.jpg,The Four Feathers,,,,English,1902,https://www.goodreads.com/author/show/217146.A_E_W_Mason,A.E.W. Mason,284,Paperback,"['Classics', 'Historical Fiction', 'Fiction', 'Adventure', 'War', 'Romance', 'Africa']",209,"4,975",5121,356,3.92,"{'5 Stars': 1556, '4 Stars': 2007, '3 Stars': 1225, '2 Stars': 252, '1 Star': 81}",[]
1049611.The_House_on_the_Strand,1049611,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1270543750i/1049611.jpg,The House on the Strand,,"['Cornwall, England', 'Tywardreath, Cornwall']",,,1969,https://www.goodreads.com/author/show/2001717.Daphne_du_Maurier,Daphne du Maurier,298,Hardcover,"['Fiction', 'Classics', 'Time Travel', 'Historical Fiction', 'Fantasy', 'Science Fiction', 'Mystery']",879,19.9k,13725,1561,3.83,"{'5 Stars': 3673, '4 Stars': 5291, '3 Stars': 3694, '2 Stars': 849, '1 Star': 218}",[]
10534.The_Art_of_War,10534,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1630683326i/10534.jpg,The Art of War,,,,English,401,https://www.goodreads.com/author/show/1771.Sun_Tzu,Sun Tzu,170,Paperback,"['Nonfiction', 'Philosophy', 'History', 'War', 'Politics', 'Business', 'Classics']",77.3k,655k,532787,21273,3.95,"{'5 Stars': 186982, '4 Stars': 181062, '3 Stars': 125190, '2 Stars': 31075, '1 Star': 8478}",['Independent Publisher Book Award (IPPY) for Multicultural Non-Fiction (2003)']
105399.Vipers_Tangle,105399,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1347674941i/105399.jpg,Vipers' Tangle,,"['Bordeaux', 'France']",,English,1932,https://www.goodreads.com/author/show/61023.Fran_ois_Mauriac,Francois Mauriac,312,Paperback,"['Fiction', 'Classics', 'France', 'Literature', 'French Literature', 'Novels', 'Nobel Prize']",118,"5,878",3817,396,4.07,"{'5 Stars': 1418, '4 Stars': 1496, '3 Stars': 703, '2 Stars': 148, '1 Star': 52}",[]
105549.The_Sneetches_and_Other_Stories,105549,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1673285588i/105549.jpg,The Sneetches and Other Stories,,,,English,1961,https://www.goodreads.com/author/show/61105.Dr_Seuss,Dr. Seuss,68,Paperback,"['Picture Books', 'Childrens', 'Fiction', 'Classics', 'Poetry', 'Fantasy', 'Humor']",292,18.8k,65649,1102,4.31,"{'5 Stars': 36233, '4 Stars': 17340, '3 Stars': 9189, '2 Stars': 1955, '1 Star': 932}",[]
10583.Pet_Sematary,10583,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1308894674i/10583.jpg,Pet Sematary,,,,,1983,https://www.goodreads.com/author/show/3389.Stephen_King,Stephen        King,576,Mass Market Paperback,"['Horror', 'Fiction', 'Thriller', 'Fantasy', 'Audiobook', 'Paranormal', 'Adult']",,,648667,28567,4.07,"{'5 Stars': 253474, '4 Stars': 233570, '3 Stars': 126003, '2 Stars': 27679, '1 Star': 7941}",[]
1059.Shibumi,1059,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388187747i/1059.jpg,Shibumi,['Nicholai Hel'],,['Nicholai Hel'],English,1979,https://www.goodreads.com/author/show/691.Trevanian,Trevanian,472,Paperback,"['Fiction', 'Thriller', 'Mystery', 'Espionage', 'Mystery Thriller', 'Japan', 'Novels']","1,425",14.3k,18784,1327,4.18,"{'5 Stars': 8718, '4 Stars': 6158, '3 Stars': 2802, '2 Stars': 775, '1 Star': 331}",[]
105992.Helter_Skelter,105992,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1347694754i/105992.jpg,Helter Skelter: The True Story of the Manson Murders,,['The United States of America'],,English,1974,https://www.goodreads.com/author/show/28828.Vincent_Bugliosi,Vincent Bugliosi,687,Paperback,"['True Crime', 'Nonfiction', 'Crime', 'History', 'Horror', 'Biography', 'Audiobook']","5,917",159k,150320,5543,4.06,"{'5 Stars': 56470, '4 Stars': 56415, '3 Stars': 29700, '2 Stars': 5718, '1 Star': 2017}",['Edgar Award for Best Fact Crime (1975)']
10614.Misery,10614,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1554220401i/10614.jpg,Misery,,"['Sidewinder, Colorado', 'Colorado']","['Paul Sheldon', 'Annie Wilkes']",English,1987,https://www.goodreads.com/author/show/3389.Stephen_King,Stephen        King,370,Paperback,"['Horror', 'Fiction', 'Thriller', 'Mystery', 'Suspense', 'Mystery Thriller', 'Adult']",15.6k,470k,792946,31661,4.23,"{'5 Stars': 369057, '4 Stars': 277539, '3 Stars': 115143, '2 Stars': 22647, '1 Star': 8560}","['Bram Stoker Award for Best Novel (1987)', 'World Fantasy Award Nominee for Best Novel (1988)']"
10617.The_Bachman_Books,10617,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1374049003i/10617.jpg,The Bachman Books,,,,English,1986,https://www.goodreads.com/author/show/5858.Richard_Bachman,Richard  Bachman,704,Paperback,"['Horror', 'Fiction', 'Short Stories', 'Thriller', 'Science Fiction', 'Fantasy', 'Suspense']","1,002",29.2k,73697,1131,4.15,"{'5 Stars': 30763, '4 Stars': 26678, '3 Stars': 13310, '2 Stars': 2164, '1 Star': 782}",[]
10625.Dolores_Claiborne,10625,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1394213480i/10625.jpg,Dolores Claiborne,,['Little Tall Island'],,French,1992,https://www.goodreads.com/author/show/3389.Stephen_King,Stephen        King,324,Mass Market Paperback,"['Horror', 'Fiction', 'Thriller', 'Mystery', 'Audiobook', 'Crime', 'Suspense']","1,984",68k,162471,5909,3.94,"{'5 Stars': 53563, '4 Stars': 58538, '3 Stars': 38847, '2 Stars': 9401, '1 Star': 2122}",[]
10644930-11-22-63,10644930,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327876792i/10644930.jpg,11/22/63,,"['Maine', 'Derry, Maine', 'Jodie, Texas']","['Lee Harvey Oswald', 'Jake Epping', 'Al Templeton', 'Harry Dunning', 'Marina Oswald Porter', 'Bill Titus', 'Sadie Dunhill', 'Yellow Card Man', 'Deacon ""Deke"" Simmons', 'Ellen Dockerty', 'George de Mohrenschildt', 'Richie Tozier', 'Beverly Marsh', 'John F. Kennedy']",English,2011,https://www.goodreads.com/author/show/3389.Stephen_King,Stephen        King,849,Hardcover,"['Fiction', 'Historical Fiction', 'Science Fiction', 'Time Travel', 'Horror', 'Fantasy', 'Thriller']",37.7k,558k,590148,53518,4.34,"{'5 Stars': 309030, '4 Stars': 199564, '3 Stars': 62462, '2 Stars': 13657, '1 Star': 5435}","['Locus Award Nominee for Best SF Novel (2012)', 'World Fantasy Award Nominee for Best Novel (2012)', 'ITW Thriller Award for Best Hard Cover Novel (2012)', ""Grand Prix de l'Imaginaire Nominee for Roman etranger (2014)"", 'British Fantasy Award Nominee for Best Novel (2012)', 'konomisuteri-gasugoi! for Best Translated Mystery Novel of the Year in Japan (2014)', 'Ben Wu Da Shang  Nominee for Translated Fiction (2014)', 'Goodreads Choice Award for Science Fiction (2011) and Nominee for Best of the Best  (2018)']"
1070961.Sophocles,1070961,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348251110i/1070961.jpg,Sophocles: Philoctetes,,,,English,410,https://www.goodreads.com/author/show/1002.Sophocles,Sophocles,,,"['Plays', 'Classics', 'Fiction', 'Mythology', 'Tragedy', 'Ancient', 'Poetry']",56,"3,107",4752,313,3.88,"{'5 Stars': 1461, '4 Stars': 1685, '3 Stars': 1260, '2 Stars': 285, '1 Star': 61}",[]
107301.A_Town_Like_Alice,107301,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327957610i/107301.jpg,A Town Like Alice,,"['Alice Springs', 'Australia', 'Malacca', 'Malaysia', 'Southeast Asia', 'Northern Territory']","['Jean Paget', 'Joe Harman']",English,1950,https://www.goodreads.com/author/show/21477.Nevil_Shute,Nevil Shute,359,Paperback,"['Fiction', 'Historical Fiction', 'Classics', 'Australia', 'Romance', 'War', 'Historical']","1,412",46.7k,59945,4634,4.15,"{'5 Stars': 24623, '4 Stars': 22803, '3 Stars': 10146, '2 Stars': 1819, '1 Star': 554}",[]
10737650-the-marbled-swarm,10737650,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1306344089i/10737650.jpg,The Marbled Swarm,,,,English,2011,https://www.goodreads.com/author/show/29064.Dennis_Cooper,Dennis Cooper,208,Paperback,"['Horror', 'Fiction', 'Queer', 'Thriller', 'Contemporary', 'LGBT', 'Dark']",74,"3,707",1408,186,3.48,"{'5 Stars': 377, '4 Stars': 364, '3 Stars': 340, '2 Stars': 208, '1 Star': 119}",[]
10773241-summary-study-guide-au-bonheur-des-dames-the-ladies-delight-by-emil,10773241,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1677801196i/10773241.jpg,Summary & Study Guide Au Bonheur Des Dames (The Ladies' Delight) by Emile Zola,,,,English,2010,https://www.goodreads.com/author/show/4819027.BookRags,BookRags,65,Kindle Edition,['Classics'],3,78,96,7,4.13,"{'5 Stars': 46, '4 Stars': 28, '3 Stars': 14, '2 Stars': 4, '1 Star': 4}",[]
1078.The_Good_Earth,1078,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1312497600i/1078.jpg,The Good Earth,['House of Earth'],['China'],"['Wang Lung', 'O-lan', 'Lotus', 'Cuckoo', 'Pear Blossom', 'Nung En (Elder Son)', 'Nung Wen (Younger Son)', 'Ching']",English,1931,https://www.goodreads.com/author/show/704.Pearl_S_Buck,Pearl S. Buck,418,Mass Market Paperback,"['Fiction', 'Historical Fiction', 'China', 'Classics', 'Literature', 'Historical', 'Asia']","6,562",117k,255320,12153,4.01,"{'5 Stars': 97364, '4 Stars': 89135, '3 Stars': 48440, '2 Stars': 14064, '1 Star': 6317}","['Pulitzer Prize for Novel (1932)', 'William Dean Howells Medal (1935)']"
1079427.The_Magic_Pudding,1079427,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1312535969i/1079427.jpg,The Magic Pudding,,['Australia'],"['Albert the Magic Pudding', 'Bunyip Bluegum', 'Bill Barnacle', 'Sam Sawnoff', 'Benjamin Brandysnap', 'Uncle Wattleberry']",English,1918,https://www.goodreads.com/author/show/190327.Norman_Lindsay,Norman Lindsay,176,Paperback,"['Classics', 'Childrens', 'Fiction', 'Australia', 'Fantasy', 'Humor', 'Animals']",74,"1,735",4199,243,3.93,"{'5 Stars': 1546, '4 Stars': 1282, '3 Stars': 1014, '2 Stars': 265, '1 Star': 92}",[]
10799.A_Farewell_to_Arms,10799,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1313714836i/10799.jpg,A Farewell to Arms,,"['Italy', 'Milan, Lombardy', 'Switzerland']","['Frederic Henry', 'Catherine Barkley', 'Rinaldi']",English,1929,https://www.goodreads.com/author/show/1455.Ernest_Hemingway,Ernest Hemingway,293,Paperback,"['Fiction', 'Historical Fiction', 'Classics', 'War', 'Literature', 'Novels', 'Romance']",11.1k,277k,337426,15353,3.82,"{'5 Stars': 97685, '4 Stars': 124836, '3 Stars': 80643, '2 Stars': 25133, '1 Star': 9129}",[]
